case,variant,rows,k,q,columns,reversed,sample,iterations,elapsed_ns,ns_per_call,cpu_mhz,median,mean,stddev,ci95_mean_low,ci95_mean_high
scalar_output,tensor_dot_serial,1,64,64,1,0,3,512,24209100,47283.3984375,2838.2200000000003,47674.609375,48116.623263888891,965.07228325847359,47222.32294806937,49010.923579708411
scalar_output,tensor_dot_serial,1,64,64,1,0,4,512,24409400,47674.609375,2875.0799999999999,47674.609375,48116.623263888891,965.07228325847359,47222.32294806937,49010.923579708411
scalar_output,tensor_dot_serial,1,64,64,1,0,5,512,24630300,48106.0546875,2690.7799999999997,47674.609375,48116.623263888891,965.07228325847359,47222.32294806937,49010.923579708411
scalar_output,tensor_dot_serial,1,64,64,1,0,6,512,24283800,47429.296875,2801.3600000000001,47674.609375,48116.623263888891,965.07228325847359,47222.32294806937,49010.923579708411
scalar_output,tensor_dot_serial,1,64,64,1,0,7,512,24356300,47570.8984375,2875.0799999999999,47674.609375,48116.623263888891,965.07228325847359,47222.32294806937,49010.923579708411
scalar_output,tensor_dot_serial,1,64,64,1,0,8,512,24741100,48322.4609375,3686,47674.609375,48116.623263888891,965.07228325847359,47222.32294806937,49010.923579708411
scalar_output,context_default,1,64,64,1,0,0,512,24757600,48354.6875,2764.5,48354.6875,48765.407986111109,1033.045891293774,47808.118793512214,49722.697178710005
scalar_output,context_default,1,64,64,1,0,1,512,25333300,49479.1015625,2838.2200000000003,48354.6875,48765.407986111109,1033.045891293774,47808.118793512214,49722.697178710005
scalar_output,context_default,1,64,64,1,0,2,512,25210800,49239.84375,2875.0799999999999,48354.6875,48765.407986111109,1033.045891293774,47808.118793512214,49722.697178710005
scalar_output,context_default,1,64,64,1,0,3,512,24630400,48106.25,2875.0799999999999,48354.6875,48765.407986111109,1033.045891293774,47808.118793512214,49722.697178710005
scalar_output,context_default,1,64,64,1,0,4,512,24472200,47797.265625,2875.0799999999999,48354.6875,48765.407986111109,1033.045891293774,47808.118793512214,49722.697178710005
scalar_output,context_default,1,64,64,1,0,5,512,25555600,49913.28125,2764.5,48354.6875,48765.407986111109,1033.045891293774,47808.118793512214,49722.697178710005
scalar_output,context_default,1,64,64,1,0,6,512,24421400,47698.046875,2801.3600000000001,48354.6875,48765.407986111109,1033.045891293774,47808.118793512214,49722.697178710005
scalar_output,context_default,1,64,64,1,0,7,512,24486600,47825.390625,2838.2200000000003,48354.6875,48765.407986111109,1033.045891293774,47808.118793512214,49722.697178710005
scalar_output,context_default,1,64,64,1,0,8,512,25843100,50474.8046875,3317.4000000000001,48354.6875,48765.407986111109,1033.045891293774,47808.118793512214,49722.697178710005
scalar_output,context_forced,1,64,64,1,0,0,512,24176000,47218.75,2801.3600000000001,48038.8671875,48121.614583333336,733.25075493769475,47442.135550424406,48801.093616242266
scalar_output,context_forced,1,64,64,1,0,1,512,24494700,47841.2109375,2801.3600000000001,48038.8671875,48121.614583333336,733.25075493769475,47442.135550424406,48801.093616242266
scalar_output,context_forced,1,64,64,1,0,2,512,24856100,48547.0703125,2801.3600000000001,48038.8671875,48121.614583333336,733.25075493769475,47442.135550424406,48801.093616242266
scalar_output,context_forced,1,64,64,1,0,3,512,24307100,47474.8046875,2875.0799999999999,48038.8671875,48121.614583333336,733.25075493769475,47442.135550424406,48801.093616242266
scalar_output,context_forced,1,64,64,1,0,4,512,24334100,47527.5390625,2875.0799999999999,48038.8671875,48121.614583333336,733.25075493769475,47442.135550424406,48801.093616242266
scalar_output,context_forced,1,64,64,1,0,5,512,24609900,48066.2109375,2875.0799999999999,48038.8671875,48121.614583333336,733.25075493769475,47442.135550424406,48801.093616242266
scalar_output,context_forced,1,64,64,1,0,6,512,25331100,49474.8046875,2801.3600000000001,48038.8671875,48121.614583333336,733.25075493769475,47442.135550424406,48801.093616242266
scalar_output,context_forced,1,64,64,1,0,7,512,24595900,48038.8671875,2838.2200000000003,48038.8671875,48121.614583333336,733.25075493769475,47442.135550424406,48801.093616242266
scalar_output,context_forced,1,64,64,1,0,8,512,25039500,48905.2734375,3686,48038.8671875,48121.614583333336,733.25075493769475,47442.135550424406,48801.093616242266
scalar_output,scalar_prevalidated,1,64,64,1,0,0,16384,27563000,1682.31201171875,2801.3600000000001,1710.711669921875,1725.2190483940972,39.929420384797119,1688.2177855041853,1762.2203112840091
scalar_output,scalar_prevalidated,1,64,64,1,0,1,16384,29570300,1804.827880859375,2801.3600000000001,1710.711669921875,1725.2190483940972,39.929420384797119,1688.2177855041853,1762.2203112840091
scalar_output,scalar_prevalidated,1,64,64,1,0,2,16384,28758400,1755.2734375,2838.2200000000003,1710.711669921875,1725.2190483940972,39.929420384797119,1688.2177855041853,1762.2203112840091
scalar_output,scalar_prevalidated,1,64,64,1,0,3,16384,27895700,1702.618408203125,2875.0799999999999,1710.711669921875,1725.2190483940972,39.929420384797119,1688.2177855041853,1762.2203112840091
scalar_output,scalar_prevalidated,1,64,64,1,0,4,16384,27885900,1702.020263671875,2875.0799999999999,1710.711669921875,1725.2190483940972,39.929420384797119,1688.2177855041853,1762.2203112840091
scalar_output,scalar_prevalidated,1,64,64,1,0,5,16384,27702300,1690.814208984375,2875.0799999999999,1710.711669921875,1725.2190483940972,39.929420384797119,1688.2177855041853,1762.2203112840091
scalar_output,scalar_prevalidated,1,64,64,1,0,6,16384,28159400,1718.71337890625,2875.0799999999999,1710.711669921875,1725.2190483940972,39.929420384797119,1688.2177855041853,1762.2203112840091
scalar_output,scalar_prevalidated,1,64,64,1,0,7,16384,28830600,1759.68017578125,2875.0799999999999,1710.711669921875,1725.2190483940972,39.929420384797119,1688.2177855041853,1762.2203112840091
scalar_output,scalar_prevalidated,1,64,64,1,0,8,16384,28028300,1710.711669921875,2875.0799999999999,1710.711669921875,1725.2190483940972,39.929420384797119,1688.2177855041853,1762.2203112840091
small,tensor_dot_serial,16,4,4,16,0,0,512,22432800,43814.0625,2727.6399999999999,43738.0859375,43804.188368055555,597.0411467750364,43250.930238710687,44357.446497400422
small,tensor_dot_serial,16,4,4,16,0,1,512,22134900,43232.2265625,2653.9200000000001,43738.0859375,43804.188368055555,597.0411467750364,43250.930238710687,44357.446497400422
small,tensor_dot_serial,16,4,4,16,0,2,512,23103000,45123.046875,2801.3600000000001,43738.0859375,43804.188368055555,597.0411467750364,43250.930238710687,44357.446497400422
small,tensor_dot_serial,16,4,4,16,0,3,512,22353600,43659.375,2801.3600000000001,43738.0859375,43804.188368055555,597.0411467750364,43250.930238710687,44357.446497400422
small,tensor_dot_serial,16,4,4,16,0,4,512,22204400,43367.96875,2801.3600000000001,43738.0859375,43804.188368055555,597.0411467750364,43250.930238710687,44357.446497400422
small,tensor_dot_serial,16,4,4,16,0,5,512,22393900,43738.0859375,2801.3600000000001,43738.0859375,43804.188368055555,597.0411467750364,43250.930238710687,44357.446497400422
small,tensor_dot_serial,16,4,4,16,0,6,512,22503300,43951.7578125,2727.6399999999999,43738.0859375,43804.188368055555,597.0411467750364,43250.930238710687,44357.446497400422
small,tensor_dot_serial,16,4,4,16,0,7,512,22102200,43168.359375,2838.2200000000003,43738.0859375,43804.188368055555,597.0411467750364,43250.930238710687,44357.446497400422
small,tensor_dot_serial,16,4,4,16,0,8,512,22621600,44182.8125,2875.0799999999999,43738.0859375,43804.188368055555,597.0411467750364,43250.930238710687,44357.446497400422
small,context_default,16,4,4,16,0,0,512,23058900,45036.9140625,2617.0599999999999,44085.15625,44207.573784722219,1028.9572540028328,43254.073396012929,45161.074173431509
small,context_default,16,4,4,16,0,1,512,22027400,43022.265625,2764.5,44085.15625,44207.573784722219,1028.9572540028328,43254.073396012929,45161.074173431509
