case,variant,workers,callers,grain,rows,inner,columns,batches,nested,padded,pool_spin_us,sample,iterations,elapsed_ns,ns_per_call,cpu_mhz,median,mean,stddev,ci95_mean_low,ci95_mean_high,throughput_calls_s
padded128,serial,4,1,32,128,128,128,1,0,1,0,5,2,20920000,10460000,3243.6799999999998,9152300,9229333.333333334,802326.7418109657,8485843.8859218396,9972822.7807448283,109.26215268293215
padded128,serial,4,1,32,128,128,128,1,0,1,0,6,2,18304600,9152300,2727.6399999999999,9152300,9229333.333333334,802326.7418109657,8485843.8859218396,9972822.7807448283,109.26215268293215
padded128,serial,4,1,32,128,128,128,1,0,1,0,7,2,19866100,9933050,2727.6399999999999,9152300,9229333.333333334,802326.7418109657,8485843.8859218396,9972822.7807448283,109.26215268293215
padded128,serial,4,1,32,128,128,128,1,0,1,0,8,2,18818300,9409150,2764.5,9152300,9229333.333333334,802326.7418109657,8485843.8859218396,9972822.7807448283,109.26215268293215
padded128,context_default,4,1,32,128,128,128,1,0,1,0,0,8,35776500,4472062.5,2838.2200000000003,3654900,3493686.111111111,673121.42752198596,2869926.921607404,4117445.300614818,273.60529699854987
padded128,context_default,4,1,32,128,128,128,1,0,1,0,1,8,24453700,3056712.5,2911.9400000000001,3654900,3493686.111111111,673121.42752198596,2869926.921607404,4117445.300614818,273.60529699854987
padded128,context_default,4,1,32,128,128,128,1,0,1,0,2,8,32824900,4103112.5,2875.0799999999999,3654900,3493686.111111111,673121.42752198596,2869926.921607404,4117445.300614818,273.60529699854987
padded128,context_default,4,1,32,128,128,128,1,0,1,0,3,8,29239200,3654900,3243.6799999999998,3654900,3493686.111111111,673121.42752198596,2869926.921607404,4117445.300614818,273.60529699854987
padded128,context_default,4,1,32,128,128,128,1,0,1,0,4,8,21959900,2744987.5,2911.9400000000001,3654900,3493686.111111111,673121.42752198596,2869926.921607404,4117445.300614818,273.60529699854987
padded128,context_default,4,1,32,128,128,128,1,0,1,0,5,8,31754900,3969362.5,3169.96,3654900,3493686.111111111,673121.42752198596,2869926.921607404,4117445.300614818,273.60529699854987
padded128,context_default,4,1,32,128,128,128,1,0,1,0,6,8,18997300,2374662.5,2617.0599999999999,3654900,3493686.111111111,673121.42752198596,2869926.921607404,4117445.300614818,273.60529699854987
padded128,context_default,4,1,32,128,128,128,1,0,1,0,7,8,27182100,3397762.5,2617.0599999999999,3654900,3493686.111111111,673121.42752198596,2869926.921607404,4117445.300614818,273.60529699854987
padded128,context_default,4,1,32,128,128,128,1,0,1,0,8,8,29356900,3669612.5,2653.9200000000001,3654900,3493686.111111111,673121.42752198596,2869926.921607404,4117445.300614818,273.60529699854987
padded128,context_forced,4,1,32,128,128,128,1,0,1,0,0,8,26616900,3327112.5,2838.2200000000003,3130200,3252848.611111111,730051.16394023108,2576334.5325264968,3929362.6896957252,319.46840457478754
padded128,context_forced,4,1,32,128,128,128,1,0,1,0,1,8,20804200,2600525,2948.8000000000002,3130200,3252848.611111111,730051.16394023108,2576334.5325264968,3929362.6896957252,319.46840457478754
padded128,context_forced,4,1,32,128,128,128,1,0,1,0,2,8,22190300,2773787.5,2764.5,3130200,3252848.611111111,730051.16394023108,2576334.5325264968,3929362.6896957252,319.46840457478754
padded128,context_forced,4,1,32,128,128,128,1,0,1,0,3,8,21559000,2694875,3243.6799999999998,3130200,3252848.611111111,730051.16394023108,2576334.5325264968,3929362.6896957252,319.46840457478754
padded128,context_forced,4,1,32,128,128,128,1,0,1,0,4,8,29426000,3678250,3169.96,3130200,3252848.611111111,730051.16394023108,2576334.5325264968,3929362.6896957252,319.46840457478754
padded128,context_forced,4,1,32,128,128,128,1,0,1,0,5,8,25041600,3130200,2801.3600000000001,3130200,3252848.611111111,730051.16394023108,2576334.5325264968,3929362.6896957252,319.46840457478754
padded128,context_forced,4,1,32,128,128,128,1,0,1,0,6,8,19157500,2394687.5,2727.6399999999999,3130200,3252848.611111111,730051.16394023108,2576334.5325264968,3929362.6896957252,319.46840457478754
padded128,context_forced,4,1,32,128,128,128,1,0,1,0,7,8,34350100,4293762.5,2801.3600000000001,3130200,3252848.611111111,730051.16394023108,2576334.5325264968,3929362.6896957252,319.46840457478754
