case,variant,workers,callers,grain,rows,inner,columns,batches,nested,padded,pool_spin_us,sample,iterations,elapsed_ns,ns_per_call,cpu_mhz,median,mean,stddev,ci95_mean_low,ci95_mean_high,throughput_calls_s
small_grain32,context_forced,4,1,1,32,32,32,1,0,0,0,0,4096,36118100,8817.8955078125,2875.0799999999999,10800.732421875,10348.334418402777,1784.8346629967043,8694.3876306924976,12002.281206113057,92586.313681345753
small_grain32,context_forced,4,1,1,32,32,32,1,0,0,0,1,4096,48928800,11945.5078125,2911.9400000000001,10800.732421875,10348.334418402777,1784.8346629967043,8694.3876306924976,12002.281206113057,92586.313681345753
small_grain32,context_forced,4,1,1,32,32,32,1,0,0,0,2,4096,45195800,11034.130859375,2395.9000000000001,10800.732421875,10348.334418402777,1784.8346629967043,8694.3876306924976,12002.281206113057,92586.313681345753
small_grain32,context_forced,4,1,1,32,32,32,1,0,0,0,3,4096,44239800,10800.732421875,2838.2200000000003,10800.732421875,10348.334418402777,1784.8346629967043,8694.3876306924976,12002.281206113057,92586.313681345753
small_grain32,context_forced,4,1,1,32,32,32,1,0,0,0,4,4096,39856900,9730.6884765625,2838.2200000000003,10800.732421875,10348.334418402777,1784.8346629967043,8694.3876306924976,12002.281206113057,92586.313681345753
small_grain32,context_forced,4,1,1,32,32,32,1,0,0,0,5,4096,35924100,8770.5322265625,3317.4000000000001,10800.732421875,10348.334418402777,1784.8346629967043,8694.3876306924976,12002.281206113057,92586.313681345753
small_grain32,context_forced,4,1,1,32,32,32,1,0,0,0,6,4096,30902300,7544.5068359375,3354.2600000000002,10800.732421875,10348.334418402777,1784.8346629967043,8694.3876306924976,12002.281206113057,92586.313681345753
small_grain32,context_forced,4,1,1,32,32,32,1,0,0,0,7,4096,54239200,13241.9921875,3059.3799999999997,10800.732421875,10348.334418402777,1784.8346629967043,8694.3876306924976,12002.281206113057,92586.313681345753
small_grain32,context_forced,4,1,1,32,32,32,1,0,0,0,8,4096,46076000,11249.0234375,2911.9400000000001,10800.732421875,10348.334418402777,1784.8346629967043,8694.3876306924976,12002.281206113057,92586.313681345753
square64/workers1,serial,1,1,32,64,64,64,1,0,0,0,0,256,26976500,105376.953125,3354.2600000000002,106359.765625,115860.11284722222,16730.206571176343,100356.78809126548,131363.43760317896,9402.0515570311545
square64/workers1,serial,1,1,32,64,64,64,1,0,0,0,1,256,26825100,104785.546875,3612.2799999999997,106359.765625,115860.11284722222,16730.206571176343,100356.78809126548,131363.43760317896,9402.0515570311545
square64/workers1,serial,1,1,32,64,64,64,1,0,0,0,2,256,26461100,103363.671875,3686,106359.765625,115860.11284722222,16730.206571176343,100356.78809126548,131363.43760317896,9402.0515570311545
